HYAR,x,y,Slope_100,Slope_200,Slope_300,Slope_400,Slope_500,Slope_600,Slope_700,Slope_800,Slope_900,Slope_1000,Slope_1100,Slope_1200,Water_100,Water_200,Water_300,Water_400,Water_500,Water_600,Water_700,Water_800,Water_900,Water_1000,Water_1100,Water_1200,PREC_100,PREC_200,PREC_300,PREC_400,PREC_500,PREC_600,PREC_700,PREC_800,PREC_900,PREC_1000,PREC_1100,PREC_1200
1,542167.3706,3483939.115,5.505613588,5.496489314,6.699423229,7.141014784,7.873936396,8.833141075,9.234179758,9.837284367,10.62924341,11.78638553,13.04826449,14.16861361,0,0,0,0,0,0,0,0,0,0,0,0,461.5708494,461.5708485,461.5723642,461.5743136,461.5757158,461.5762024,461.577898,461.580288,461.5820144,461.5833213,461.5839491,461.5846228
0,540877.3706,3482889.115,6.032872298,9.004251955,7.559947679,7.008525868,6.761792606,6.66753094,6.692502789,6.842315653,6.850702001,6.753341811,6.688743011,6.692818958,0,0,0,0,0,0,0,0,0,0,0,0,454.553574,454.5535719,454.553675,454.5619672,454.5802249,454.6040505,454.634679,454.670452,454.7094949,454.752565,454.7936439,454.8388164
1,544717.3706,3483279.115,12.7910065,12.78821244,14.87021714,16.73007356,16.72747193,17.37119039,18.56478291,19.73915293,20.43981429,20.92347093,20.83940904,20.85028058,0,0,0,0,0,0,0,0,0,0,0,0,467.8082193,467.7479355,467.6817989,467.6219507,467.5475272,467.4621724,467.3669079,467.2651635,467.1613357,467.0507036,466.941221,466.8168956
1,546277.3706,3483279.115,7.959436734,9.273765905,9.6244053,10.572469,10.67653585,10.6526165,10.90710389,11.03030124,11.28470064,11.96079896,12.5753843,13.36692918,0,0,0,0,0,0,0,0,0,0,0,0,468.1976854,468.175558,468.1515576,468.129906,468.1066892,468.0861281,468.0670424,468.047614,468.0285863,468.0086162,467.985948,467.9567434
1,547477.3706,3482049.115,27.22899616,29.63379839,26.92785873,25.94756619,25.50182426,25.96529425,26.59238754,26.80321992,26.33831586,26.33322258,25.66999702,24.91028738,0,0,0,0,0,0,0,0,0,0,0,0,476.9958183,476.9702601,476.9419628,476.9161709,476.8864959,476.8568468,476.8245884,476.7829234,476.7323209,476.6671072,476.5959609,476.5100549
1,548377.3706,3482979.115,6.225872993,10.96657171,12.40611323,13.92375495,14.8373017,16.29130601,17.70692785,18.07830726,18.49741419,18.80708726,18.84411777,18.79236092,0,0,0,0,0,0,0,0,0,0,0,0,471.6989829,471.6942228,471.684972,471.6779328,471.674929,471.6749177,471.6762874,471.6721737,471.6563589,471.6276776,471.5928285,471.5495792
0,552067.3706,3499629.115,3.790506361,6.513827218,9.114857622,8.898264226,8.769006892,8.838486923,8.364765366,8.160399149,8.196489518,8.32233931,8.688809986,8.920946207,0.459459459,0.364963504,0.255520505,0.200723327,0.160775371,0.128082737,0.120538327,0.117778773,0.113080468,0.102710414,0.096313912,0.087164179,361.5844768,361.5700806,361.5432529,361.5198941,361.5029874,361.4958616,361.4983221,361.5180074,361.5509121,361.5960844,361.6473631,361.7108827
0,554947.3706,3500019.115,5.346737456,6.37221738,7.516904642,8.765904755,9.472998907,9.860532319,9.905771231,9.882694656,9.608758107,9.265005195,9.049096214,8.91209867,0,0,0,0,0,0,0,0,0,0,0,0,345.379303,345.4407353,345.5393658,345.637695,345.7566481,345.8846141,346.0210208,346.16408,346.3081583,346.4594084,346.6011808,346.7519768
0,556747.3706,3499809.115,4.739027265,5.946205309,6.287894268,6.625721415,6.573525321,6.404755993,6.625185543,6.709701434,6.71793769,6.631251714,6.717740203,6.747161093,0,0,0.006309148,0.016274864,0.014823261,0.010342084,0.007606788,0.005821764,0.004608295,0.003708987,0.003091558,0.002587065,339.3189491,339.3365198,339.4664711,339.6385954,339.8394705,340.0367199,340.2330493,340.4224589,340.6004374,340.7748385,340.9281029,341.0855923
0,542737.3706,3481719.115,5.745846141,6.0132799,5.945125092,5.580170941,5.583832701,5.62763603,5.682492533,5.693153332,5.971607089,6.248364825,6.461508554,6.761703513,0,0,0,0,0,0,0,0,0,0,0,0,455.1303389,455.1440427,455.1589992,455.1742945,455.1952643,455.2178233,455.2407617,455.2619122,455.2831975,455.3084115,455.3351494,455.3671144
1,540037.3706,3470229.115,9.308259088,6.730747271,6.128095903,6.260098984,6.089975723,6.01856149,5.745496988,5.655470564,5.662109588,5.649309077,5.5515429,5.557545467,0.216216216,0.284671533,0.283911672,0.276672694,0.215507412,0.177406523,0.148039789,0.130765786,0.138248848,0.135235378,0.122235434,0.107860697,432.0228758,432.0238892,432.0256732,432.0275533,432.033368,432.0465009,432.0658337,432.0888616,432.1146181,432.1438364,432.1726622,432.2051276
0,540457.3706,3474429.115,4.219373825,4.782077755,4.757372114,4.810633609,5.040743803,5.082456977,5.215308991,5.316708735,5.339060173,5.306362317,5.319516211,5.416871841,0,0,0,0,0,0,0,0,0.000708968,0.009700428,0.012604043,0.011144279,436.2079979,436.2194619,436.2345085,436.2486494,436.264561,436.2799332,436.2950284,436.3106017,436.3271426,436.3469324,436.3680615,436.3931261
0,541987.3706,3476949.115,6.593182764,6.307834652,6.02095686,6.026425711,6.049337141,5.892766738,5.959806958,5.990987089,6.072857753,6.17047316,6.281951992,6.39326412,0,0,0,0,0,0,0,0,0,0,0,0.001791045,439.8652938,439.8709296,439.8953136,439.9295803,439.9716566,440.0148724,440.0595683,440.1061469,440.1557032,440.2153152,440.2778277,440.3513512
1,538927.3706,3480279.115,4.081213624,4.897496165,5.757046342,5.677349043,5.583978667,5.626709162,5.551101003,5.507145209,5.526094893,5.553401721,5.559733692,5.594487544,0,0.00729927,0.094637224,0.088607595,0.057012543,0.039777247,0.029256875,0.023287058,0.021978022,0.021968616,0.021878716,0.018706468,445.7922528,445.7929171,445.7992553,445.8104709,445.8249028,445.8401928,445.8564908,445.8770185,445.9006552,445.9277698,445.9560971,445.9899253
0,533617.3706,3480849.115,4.549867785,5.945239939,5.611848989,5.778948039,5.910226808,5.74399651,6.175898435,6.480066552,6.601014598,6.870922721,7.193121184,7.492148322,0,0,0,0,0,0,0,0,0,0,0,0,458.3937733,458.3937757,458.3937756,458.3935698,458.3884058,458.3749387,458.3606201,458.3476891,458.3366059,458.3274831,458.3209785,458.3162811
0,533617.3706,3476529.115,8.769762696,7.944348357,8.485475148,8.367481051,8.513278635,8.650031638,8.780032427,8.94036474,8.895862029,8.728582765,8.633647877,8.542849779,0,0,0,0,0,0,0,0,0,0,0,0,461.5395928,461.5395933,461.5373179,461.5261851,461.5094277,461.4909425,461.4714499,461.4501268,461.4264524,461.3996007,461.3730463,461.343199
1,539347.3706,3472329.115,5.387072051,4.524503955,4.488015321,4.677697587,4.918852218,5.085263084,5.228194896,5.317154377,5.406448928,5.457170697,5.551200915,5.514046115,0,0,0.025236593,0.066907776,0.0672748,0.066825776,0.067875951,0.062248097,0.058489897,0.054493581,0.053983353,0.055522388,433.6703104,433.670336,433.6709847,433.6773116,433.6895042,433.7053963,433.7266581,433.7519803,433.7801032,433.8114894,433.8419886,433.8765547
0,543127.3706,3472179.115,11.81239726,14.14506731,14.58365544,13.98263477,13.42643658,13.14393201,12.57297174,12.01309339,11.47586834,11.38787956,11.15176311,10.88109812,0,0,0,0,0,0,0,0,0,0,0,0,440.0300243,440.0272872,440.0243332,440.0210152,440.0136219,440.004024,439.9930146,439.9809161,439.9681283,439.9540784,439.9395324,439.9224233
0,545497.3706,3474699.115,10.86148509,8.555682037,9.676571861,10.37925461,11.44946161,11.19104968,11.087826,10.92067543,10.73955461,10.62918942,10.37951497,10.05012965,0,0,0,0,0,0,0,0,0,0,0,0,448.8502321,448.85023,448.850157,448.8496373,448.8508556,448.8525774,448.8544073,448.8592663,448.8680474,448.8806157,448.8949331,448.9130091
1,545077.3706,3477909.115,10.9283646,11.12851296,9.359436801,8.366140597,8.13370901,8.204312201,8.136485855,8.089456791,7.98593233,7.931100308,7.947401598,7.886568686,0,0,0,0,0,0,0,0,0,0,0,0,455.226485,455.2472147,455.278258,455.310307,455.3467133,455.3819369,455.4168543,455.4526881,455.4903253,455.5322245,455.5732717,455.6183963
0,545077.3706,3480009.115,12.43681193,12.71913422,13.54068675,14.41242452,14.36619797,14.18884927,13.70302927,12.62312018,11.97244406,11.75292388,11.82452254,11.81525554,0,0,0,0,0,0,0,0,0,0,0,0,461.6852095,461.6976098,461.7135605,461.7284842,461.7447746,461.7584162,461.7701466,461.7822373,461.7968414,461.8185144,461.8454203,461.8802719
1,551767.3706,3476949.115,0.161312561,2.391942907,5.111049459,6.676076455,7.80867616,8.952797866,10.28330822,11.71282904,12.82259574,13.74080489,14.35452577,14.86451124,1,0.781021898,0.567823344,0.444846293,0.348916762,0.292760541,0.23698069,0.191670399,0.155618575,0.126676177,0.109869203,0.093134328,479.0992811,479.1025455,479.1128334,479.1260786,479.1434197,479.1627629,479.1855406,479.2100411,479.2343418,479.2576983,479.2769534,479.2955975
0,553297.3706,3476799.115,18.10867241,15.14209148,14.10699841,13.05426039,13.18674025,13.67179281,13.57500674,13.31321985,12.85526118,12.45305989,12.25116031,12.14105738,0,0,0,0,0,0,0,0.000895656,0.004962779,0.016547789,0.021403092,0.024079602,482.9301172,482.9016389,482.8620282,482.8011003,482.7225539,482.6417206,482.5639685,482.4921979,482.4276025,482.366955,482.318195,482.2758208
0,477307.3706,3478719.115,23.24117782,18.44386169,17.42798016,18.8253804,19.38398942,19.22065892,19.65829505,20.50844888,21.66010377,22.62519293,23.39683442,23.9714033,0,0,0,0,0,0,0,0,0,0,0,0,493.8157373,493.809765,493.7717204,493.7724484,493.8177553,493.8954539,494.0121869,494.1552761,494.3114892,494.476165,494.6270605,494.7951804
0,476467.3706,3480969.115,9.818612666,8.601940758,9.719261008,10.4732355,13.13323529,15.62109709,17.09277023,17.64152986,17.89402892,18.1735734,18.56813569,18.6289853,0,0,0,0,0,0,0,0,0,0,0,0,502.6306474,502.6306482,502.6638292,502.7885925,502.985113,503.2237034,503.4849344,503.7548737,504.0247549,504.3040412,504.5619074,504.8356597
1,476707.3706,3483489.115,8.66032342,12.30265607,17.65984746,19.49831105,21.18242376,21.75683432,21.89724213,22.46554397,22.62061365,22.54484433,22.58338647,22.5827189,0.081081081,0.02189781,0.009463722,0.005424955,0.003420753,0.002386635,0.001755413,0.001343484,0.001063453,0.00085592,0.000713436,0.000597015,506.7134944,506.7134965,506.7134415,506.7060477,506.6951927,506.6960882,506.7098844,506.721989,506.7287439,506.728736,506.7234973,506.7123516
1,475747.3706,3485979.115,7.765120545,7.513041806,8.975681501,11.27253812,12.46661258,13.19898498,14.30204955,15.4869407,16.53373513,17.66573768,18.60933665,19.19932239,0,0,0,0,0,0,0,0,0,0,0,0,491.2306791,491.2022155,491.1710489,491.1367764,491.0937111,491.0511094,491.0094826,490.9691319,490.9306202,490.8943058,490.8717657,490.8596719
0,473197.3706,3487959.115,3.393350334,8.492302093,9.84359765,9.668133618,10.10110522,10.35834577,10.47390193,10.11182457,9.859171424,9.810201223,9.692030186,9.451727886,0,0,0,0,0,0,0,0,0,0.002282454,0.007609988,0.008358209,479.4020023,479.4313985,479.5052354,479.5888626,479.6880936,479.7888248,479.8920999,480.0024553,480.1158421,480.2456046,480.3926365,480.5759862
0,474247.3706,3482979.115,5.882908127,7.834621574,10.80349471,12.1636763,13.27235664,13.87680434,14.73970612,14.96305894,15.22919738,15.46900519,15.61648093,15.99305613,0,0,0,0,0,0,0,0,0,0,0,0,508.0244586,508.0244626,508.0169948,507.9873704,507.9596075,507.9402352,507.9258748,507.9099406,507.8871301,507.8563262,507.8228178,507.7838622
0,474277.3706,3479559.115,7.355436074,9.941633154,10.33937017,12.19244907,13.54799746,14.89753652,15.58126173,16.02371051,16.47393897,17.34866874,18.01237448,18.31184088,0,0,0,0,0,0,0,0,0,0,0,0,521.5056301,521.4072119,521.2810885,521.1630507,521.0267818,520.8915018,520.7543312,520.6116269,520.4685513,520.314007,520.1524888,519.9552477
1,474067.3706,3481059.115,17.60049635,17.09628834,16.7461956,18.50881042,20.51378433,21.67517014,22.67683291,23.53795745,23.48704771,23.7232579,23.55734268,23.30733262,0,0,0,0,0,0,0,0,0,0,0,0,520.162304,520.1623058,520.1944112,520.2708311,520.3772062,520.4913595,520.606518,520.7034849,520.7790506,520.8375797,520.8732821,520.8875471
0,472867.3706,3483669.115,5.387533022,6.455726581,6.71236332,7.295343769,7.235587215,7.149402937,7.408291695,8.145030908,9.204005768,9.990963626,10.63466683,11.25296814,0,0,0,0,0,0,0,0.003582624,0.008507621,0.006847361,0.005707491,0.004776119,501.1465174,501.1465247,501.1609455,501.2203611,501.3098294,501.4285404,501.6098922,501.8536889,502.1463803,502.4920594,502.8398375,503.2447135
1,471157.3706,3485349.115,10.3726924,14.92544197,15.96884954,17.16130864,17.44706908,17.39074994,17.55060835,17.80651448,18.16368475,18.74547105,19.16173711,19.32858163,0,0,0,0,0,0,0,0,0,0,0,0,517.0304236,517.0304249,517.0305854,517.0568251,517.1529142,517.2964983,517.4677756,517.6357379,517.7903457,517.933527,518.0538971,518.1701722
1,470827.3706,3487359.115,8.536277906,8.398496206,8.648901254,8.870561103,9.59260681,10.64953168,11.93595606,12.5477678,12.73864693,12.83078946,12.7844956,12.56597963,0,0,0,0,0,0,0,0,0,0,0,0,505.2760967,505.285144,505.3051109,505.3264931,505.3515602,505.3841483,505.4266316,505.4730107,505.518863,505.5667487,505.6142811,505.6689845
0,469567.3706,3487389.115,4.080319545,7.749079425,10.12608939,10.33623553,10.54502435,11.1321859,11.17522627,11.2555972,11.29710453,11.44136092,11.88457964,12.53080815,0,0,0,0,0,0,0,0,0,0,0,0,521.1407867,521.1407943,521.1408112,521.1412698,521.1548005,521.2033266,521.2785899,521.3675595,521.4647157,521.570187,521.667609,521.7688099
1,468607.3706,3483819.115,13.23002842,18.67093528,19.09464245,19.18394398,19.87511806,19.93308505,19.61654923,19.84453196,20.1514889,19.98730119,20.0542482,20.2680337,0,0,0,0,0,0,0,0,0,0,0,0,545.4792827,545.4792797,545.4768563,545.3930507,545.1741794,544.8693073,544.4947877,544.103555,543.7074437,543.2930361,542.9077447,542.5017501
0,469597.3706,3482079.115,11.04314784,13.34849786,17.16100004,16.98304168,17.04902212,17.56608084,17.38002875,17.33304205,17.33776326,17.62152568,18.11945232,18.47456935,0,0,0,0,0,0,0,0,0,0,0,0,522.2121104,522.2121074,522.2253618,522.2657334,522.3108255,522.3648924,522.4338655,522.5099881,522.5899717,522.6743995,522.7473146,522.8115494
1,467077.3706,3484449.115,6.612195988,6.959585283,9.152577639,9.891616752,9.9642961,10.00698396,10.75928975,12.06064549,13.84125384,14.9765857,15.79565813,16.16090666,0,0,0,0,0,0,0,0,0,0,0,0,539.9470132,539.9470041,539.9469943,539.9461904,539.950776,539.9775997,540.0306108,540.0796755,540.118257,540.1435627,540.1557287,540.1576035
0,465427.3706,3485049.115,12.43472197,17.51373924,17.78809496,16.98978595,15.82501146,15.54250552,15.47050493,15.10976077,14.86802557,14.99261608,15.0966248,15.18332766,0,0,0,0,0,0,0,0,0,0,0,0,537.1738314,537.0477602,536.9121515,536.8313177,536.7612195,536.7041829,536.6568801,536.6064222,536.5593366,536.5173976,536.4795162,536.441517
0,463627.3706,3483879.115,10.45816333,14.18989489,19.35264717,18.61513921,17.43197999,16.99463921,16.19364658,15.93121884,15.8247298,15.9773875,16.2573647,16.75295246,0,0,0,0,0,0,0,0,0.000708968,0.001141227,0.000951249,0.00079602,525.5837765,525.6179778,525.6578644,525.7158425,525.8022929,525.8982412,526.00225,526.1221732,526.2546892,526.3939257,526.5186463,526.6476002
1,462007.3706,3482709.115,6.688777278,9.78154694,10.22287524,11.92601089,13.69839675,15.78939593,17.2597013,17.84026319,18.34993187,18.91801459,19.01282916,19.20830656,0,0,0,0,0,0,0,0,0,0,0,0.000597015,513.1868072,513.1828584,513.1786144,513.1747779,513.1782053,513.1976549,513.2405225,513.3005121,513.3659019,513.4231389,513.4655605,513.5017684
